Group num: 0, TC(X;Y_j): 284.094
comp2600_c0_seq1, 0.000
comp283328_c0_seq2, 0.000
comp30566_c1_seq1, 0.000
comp166036_c0_seq1, 0.000
comp82937_c0_seq1, 0.000
comp9708_c0_seq3, 0.000
comp1987_c5_seq1, 0.000
comp58183_c1_seq1, 0.000
comp162430_c0_seq1, 0.000
comp313811_c0_seq1, 0.000
comp193142_c0_seq1, 0.000
comp122197_c0_seq1, 0.000
comp30105_c0_seq1, 0.000
comp136769_c0_seq1, 0.000
comp67196_c0_seq1, 0.000
comp51244_c0_seq1, 0.000
comp314_c0_seq1, 0.000
comp56921_c0_seq3, 0.000
comp29779_c0_seq6, -0.000
Group num: 1, TC(X;Y_j): 121.906
comp294462_c0_seq1, 0.517
comp30868_c2_seq6, 0.436
comp265869_c0_seq1, 0.435
comp203956_c0_seq2, 0.416
comp266577_c0_seq1, 0.393
comp13540_c0_seq13, 0.383
comp337697_c0_seq1, 0.380
comp83619_c0_seq1, 0.376
comp3744_c3_seq8, 0.375
comp372440_c0_seq1, 0.371
comp353980_c0_seq1, 0.370
comp4361_c1_seq20, 0.362
comp1603_c15_seq14, 0.355
comp86922_c1_seq1, 0.348
comp491096_c0_seq1, 0.348
comp532889_c0_seq1, 0.348
comp73153_c0_seq1, 0.348
comp244976_c0_seq1, 0.348
comp509697_c0_seq1, 0.348
comp217125_c0_seq1, 0.346
comp476045_c0_seq1, 0.346
comp26667_c0_seq1, 0.346
comp325150_c0_seq1, 0.346
comp2070_c5_seq6, 0.346
comp191283_c0_seq1, 0.345
comp368950_c0_seq1, 0.345
comp266895_c0_seq1, 0.344
comp504465_c0_seq1, 0.344
comp421037_c0_seq1, 0.344
comp461423_c0_seq1, 0.344
comp130687_c0_seq1, 0.344
comp358141_c0_seq1, 0.344
comp264719_c0_seq1, 0.343
comp117670_c0_seq1, 0.343
comp316950_c0_seq1, 0.342
comp506678_c0_seq1, 0.341
comp1350_c2_seq5, 0.340
comp49163_c0_seq1, 0.339
comp195071_c0_seq1, 0.339
comp1153_c12_seq1, 0.339
comp318725_c0_seq1, 0.339
comp27470_c0_seq2, 0.337
comp496866_c0_seq1, 0.336
comp93390_c2_seq1, 0.336
comp14538_c0_seq1, 0.335
comp309293_c0_seq1, 0.335
comp176787_c0_seq1, 0.334
comp19291_c1_seq3, 0.334
comp409915_c0_seq1, 0.333
comp446680_c0_seq1, 0.332
comp514444_c0_seq1, 0.331
comp377708_c0_seq1, 0.330
